#,Ticker,Name,Adj.Slope90,Adj.Slope125,Adj.Slope250,Avg.Slope.125.250,Sector,Industry,"Max Gap","Target Weight","Stock Trend - SMA100",ATR,Updated,"Close Price"
1,VRTX,"Vertex Pharmaceuticals Inc Common",233.1,68.90,0.49,34.695000,Healthcare,"Biotechnology & Medical Research",20.45,3.88,1,3.00,2017-05-04,116.39
2,ATVI,"Activision Blizzard Inc Common",173.0,101.99,7.78,54.885000,Technology,"Online Services",18.88,6.92,1,0.77,2017-05-04,53.1
3,IDXX,"IDEXX Laboratories Inc Common",161.3,130.13,77.47,103.800000,Healthcare,"Medical Equipment, Supplies & Distribution",13.25,5.86,1,2.73,2017-05-04,160.46
4,WYNN,"Wynn Resorts Ltd Common",149.4,64.34,3.62,33.980000,"Consumer Cyclicals","Casinos & Gaming",7.94,4.65,1,2.67,2017-05-04,124.32
5,LRCX,"Lam Research Corp Common",111.9,94.87,70.45,82.660000,Technology,"Semiconductor Equipment & Testing",6.86,6.05,1,2.49,2017-05-04,150.61
6,ADBE,"Adobe Systems Inc Common",105.8,78.17,30.83,54.500000,Technology,Software,3.81,9.55,1,1.41,2017-05-04,134.61
7,HPQ,"HP Inc Common",105.7,39.39,35.42,37.405000,Technology,"Computer Hardware",8.64,6.40,1,0.29,2017-05-04,18.79
8,ISRG,"Intuitive Surgical Inc Common",101.2,67.65,7.20,37.425000,Healthcare,"Advanced Medical Equipment & Technology",6.37,8.21,1,10.24,2017-05-04,847.22
9,KLAC,"KLA-Tencor Corp Common",100.2,78.32,32.25,55.285000,Technology,"Semiconductor Equipment & Testing",5.18,5.81,1,1.73,2017-05-04,100.81
10,MU,"Micron Technology Inc Common",96.1,145.44,160.66,153.050000,Technology,Semiconductors,7.40,3.77,1,0.74,2017-05-04,27.79
11,SWKS,"Skyworks Solutions Inc Common",93.7,98.10,58.71,78.405000,Technology,Semiconductors,13.01,4.79,1,2.10,2017-05-04,100.92
12,AMAT,"Applied Materials Inc Common",91.6,90.52,75.95,83.235000,Technology,"Semiconductor Equipment & Testing",3.15,6.00,1,0.69,2017-05-04,41.62
13,CERN,"Cerner Corp Common",91.2,57.29,-0.38,28.455000,Healthcare,"Advanced Medical Equipment & Technology",7.81,5.59,1,1.15,2017-05-04,64.12
14,SYMC,"Symantec Corp Common",90.2,85.72,66.25,75.985000,Technology,Software,2.53,6.84,1,0.47,2017-05-04,32.22
15,PM,"Philip Morris International Inc Common",89.5,74.37,0.98,37.675000,"Consumer non-Cyclicals",Tobacco,3.45,8.15,1,1.36,2017-05-04,111.2
16,AAPL,"Apple Inc Common",87.7,97.18,50.93,74.055000,Technology,"Computer Hardware",6.10,9.25,1,1.58,2017-05-04,146.53
17,AMT,"American Tower Common",84.2,33.95,0.42,17.185000,Financials,"Specialized REITs",2.84,8.51,1,1.50,2017-05-04,127.39
18,DXC,"DXC Technology Co Common",82.0,61.02,69.14,65.080000,Technology,"IT Services & Consulting",11.12,4.24,1,1.83,2017-05-04,77.56
19,PCLN,"Priceline Group Inc Common",81.6,53.98,40.13,47.055000,"Consumer Cyclicals","Leisure & Recreation",5.64,8.13,1,23.44,2017-05-04,1910.41
20,SNPS,"Synopsys Inc Common",80.3,64.45,39.89,52.170000,Technology,Software,6.64,9.73,1,0.76,2017-05-04,74
21,RHT,"Red Hat Inc Common",79.4,20.99,6.72,13.855000,Technology,Software,5.21,7.34,1,1.20,2017-05-04,87.89
22,BAX,"Baxter International Inc Common",77.2,45.20,8.25,26.725000,Healthcare,"Medical Equipment, Supplies & Distribution",4.47,8.17,1,0.68,2017-05-04,55.96
23,MJN,"Mead Johnson Nutrition Co Common",76.6,66.89,-0.01,33.440000,"Consumer non-Cyclicals","Food Processing",21.41,28.19,1,0.32,2017-05-04,88.82
24,PHM,"PulteGroup Inc Common",76.6,71.66,6.24,38.950000,"Consumer Cyclicals",Homebuilding,5.88,4.69,1,0.47,2017-05-04,22.15
25,FMC,"FMC Corp Common",74.1,57.47,43.99,50.730000,"Basic Materials","Diversified Chemicals",13.15,4.74,1,1.49,2017-05-04,70.73
26,TIF,"Tiffany & Co Common",73.3,41.57,54.39,47.980000,"Consumer Cyclicals","Apparel & Accessories Retailers",3.82,7.18,1,1.27,2017-05-04,91
27,ALB,"Albemarle Corp Common",72.9,75.04,30.07,52.555000,"Basic Materials","Commodity Chemicals",9.79,5.74,1,1.89,2017-05-04,108.71
28,ALLE,"Allegion PLC Common",72.5,38.35,1.35,19.850000,Technology,"Communications & Networking",6.11,6.81,1,1.13,2017-05-04,77.35
29,LOW,"Lowe's Companies Inc Common",72.4,48.54,0.00,24.270000,"Consumer Cyclicals","Home Improvement Products & Services Retailers",9.52,8.14,1,1.05,2017-05-04,85.4
30,QRVO,"Qorvo Inc Common",69.6,90.12,19.16,54.640000,Technology,"Semiconductor Equipment & Testing",4.65,4.23,1,1.58,2017-05-04,67.02
31,IFF,"International Flavors & Fragrances Inc Common",69.1,19.59,-0.13,9.730000,"Consumer non-Cyclicals","Food Processing",4.09,7.84,1,1.77,2017-05-04,138.47
32,FB,"Facebook Inc Class A Common",68.5,61.99,12.76,37.375000,Technology,"Online Services",2.27,8.16,1,1.84,2017-05-04,150.85
33,WAT,"Waters Corp Common",66.7,45.47,1.16,23.315000,Healthcare,"Advanced Medical Equipment & Technology",6.98,6.50,1,2.67,2017-05-04,173.7
34,MCO,"Moody's Corp Common",66.4,43.82,5.10,24.460000,Industrials,"Professional Information Services",2.43,8.14,1,1.47,2017-05-04,119.4
35,AVGO,"Broadcom Ltd Common",64.7,85.53,43.55,64.540000,Technology,Semiconductors,3.84,6.32,1,3.53,2017-05-04,223.4
36,ILMN,"Illumina Inc Common",64.4,94.23,1.65,47.940000,Healthcare,"Advanced Medical Equipment & Technology",16.60,5.34,1,3.53,2017-05-04,188.85
37,FBHS,"Fortune Brands Home & Security Inc Common",64.3,26.88,0.00,13.440000,"Consumer Cyclicals","Construction Supplies & Fixtures",2.27,7.45,1,0.85,2017-05-04,63.34
38,LEN,"Lennar Corp Common",64.3,54.95,1.20,28.075000,"Consumer Cyclicals",Homebuilding,5.99,5.55,1,0.90,2017-05-04,49.78
39,CNC,"Centene Corp Common",63.6,74.74,0.08,37.410000,Healthcare,"Managed Healthcare",5.30,4.45,1,1.70,2017-05-04,75.87
40,MTD,"Mettler-Toledo International Inc Common",62.8,47.62,31.81,39.715000,Industrials,"Industrial Machinery & Equipment",6.69,7.24,1,7.13,2017-05-04,519.31
41,DHI,"D.R. Horton Inc Common",62.4,48.66,0.01,24.335000,"Consumer Cyclicals",Homebuilding,6.61,5.28,1,0.62,2017-05-04,32.51
42,TGNA,"Tegna Inc Common",61.6,45.98,3.64,24.810000,"Consumer Cyclicals",Broadcasting,3.47,5.80,1,0.43,2017-05-04,25
43,HAS,"Hasbro Inc Common",60.9,40.63,8.16,24.395000,"Consumer Cyclicals","Toys & Children's Products",14.14,6.28,1,1.58,2017-05-04,99.37
44,WYN,"Wyndham Worldwide Corp Common",60.6,61.74,22.08,41.910000,"Consumer Cyclicals","Hotels, Motels & Cruise Lines",9.02,5.55,1,1.72,2017-05-04,95.63
45,ANTM,"Anthem Inc Common",60.0,66.82,25.16,45.990000,Healthcare,"Managed Healthcare",4.31,5.78,1,3.10,2017-05-04,179.89
46,ORCL,"Oracle Corp Common",60.0,31.80,2.94,17.370000,Technology,Software,6.23,9.28,1,0.49,2017-05-04,45.47
47,EFX,"Equifax Inc Common",58.2,38.30,0.04,19.170000,Industrials,"Professional Information Services",5.03,7.84,1,1.74,2017-05-04,136.86
48,BCR,"C R Bard Inc Common",58.0,61.99,6.54,34.265000,Healthcare,"Medical Equipment, Supplies & Distribution",19.50,7.10,1,4.31,2017-05-04,306.6
49,EA,"Electronic Arts Inc Common",57.0,43.75,13.75,28.750000,Technology,Software,3.50,7.68,1,1.23,2017-05-04,94.76
