#,Ticker,Name,Adj.Slope90,Adj.Slope125,Adj.Slope250,Avg.Slope.125.250,Sector,Industry,"Max Gap","Target Weight","Stock Trend - SMA100",ATR,Updated,"Close Price"
1,VRTX,"Vertex Pharmaceuticals Inc Common",213.7,117.88,1.06,59.470000,Healthcare,"Biotechnology & Medical Research",20.45,4.19,1,2.81,2017-05-16,118.09
2,ATVI,"Activision Blizzard Inc Common",163.2,141.52,10.22,75.870000,Technology,"Online Services",18.88,6.81,1,0.83,2017-05-16,56.78
3,WYNN,"Wynn Resorts Ltd Common",147.7,69.96,5.23,37.595000,"Consumer Cyclicals","Casinos & Gaming",7.94,4.54,1,2.82,2017-05-16,127.91
4,LRCX,"Lam Research Corp Common",131.1,102.95,71.75,87.350000,Technology,"Semiconductor Equipment & Testing",6.86,6.46,1,2.36,2017-05-16,152.56
5,IDXX,"IDEXX Laboratories Inc Common",130.8,123.95,78.87,101.410000,Healthcare,"Medical Equipment, Supplies & Distribution",13.25,6.85,1,2.40,2017-05-16,164.72
6,HPQ,"HP Inc Common",115.7,54.82,35.06,44.940000,Technology,"Computer Hardware",8.64,7.08,1,0.28,2017-05-16,19.47
7,AMT,"American Tower Common",99.4,52.64,0.76,26.700000,Financials,"Specialized REITs",2.84,8.67,1,1.48,2017-05-16,128.37
8,ISRG,"Intuitive Surgical Inc Common",98.6,84.65,8.70,46.675000,Healthcare,"Advanced Medical Equipment & Technology",6.37,8.73,1,9.76,2017-05-16,859.47
9,MU,"Micron Technology Inc Common",98.3,125.51,151.78,138.645000,Technology,Semiconductors,7.40,4.17,1,0.69,2017-05-16,29.02
10,ADBE,"Adobe Systems Inc Common",95.9,90.00,33.74,61.870000,Technology,Software,3.81,10.79,1,1.28,2017-05-16,138.03
11,AMAT,"Applied Materials Inc Common",95.8,89.58,73.82,81.700000,Technology,"Semiconductor Equipment & Testing",3.15,6.31,1,0.71,2017-05-16,45.07
12,FMC,"FMC Corp Common",92.1,63.90,49.17,56.535000,"Basic Materials","Diversified Chemicals",13.15,4.95,1,1.53,2017-05-16,75.67
13,KLAC,"KLA-Tencor Corp Common",89.5,78.16,34.81,56.485000,Technology,"Semiconductor Equipment & Testing",5.18,6.47,1,1.58,2017-05-16,102.33
14,CERN,"Cerner Corp Common",88.8,77.42,-0.18,38.620000,Healthcare,"Advanced Medical Equipment & Technology",7.81,6.20,1,1.05,2017-05-16,64.83
15,BCR,"C R Bard Inc Common",82.6,80.84,9.64,45.240000,Healthcare,"Medical Equipment, Supplies & Distribution",19.50,8.62,1,3.55,2017-05-16,306.32
16,AAPL,"Apple Inc Common",82.2,99.53,52.46,75.995000,Technology,"Computer Hardware",6.10,8.68,1,1.79,2017-05-16,155.47
17,DXC,"DXC Technology Co Common",80.6,69.18,65.76,67.470000,Technology,"IT Services & Consulting",11.12,5.30,1,1.52,2017-05-16,80.59
18,MTD,"Mettler-Toledo International Inc Common",77.0,63.53,34.02,48.775000,Industrials,"Industrial Machinery & Equipment",6.69,6.62,1,8.52,2017-05-16,565.82
19,DRI,"Darden Restaurants Inc Common",73.5,25.04,27.56,26.300000,"Consumer Cyclicals","Restaurants & Bars",9.31,7.18,1,1.20,2017-05-16,85.96
20,BAX,"Baxter International Inc Common",73.3,61.53,10.32,35.925000,Healthcare,"Medical Equipment, Supplies & Distribution",4.47,8.60,1,0.67,2017-05-16,57.58
21,WYN,"Wyndham Worldwide Corp Common",70.7,61.70,26.04,43.870000,"Consumer Cyclicals","Hotels, Motels & Cruise Lines",9.02,6.24,1,1.54,2017-05-16,95.94
22,PCLN,"Priceline Group Inc Common",69.4,61.42,41.16,51.290000,"Consumer Cyclicals","Leisure & Recreation",5.64,6.90,1,26.25,2017-05-16,1829.8
23,SYMC,"Symantec Corp Common",69.2,90.26,63.06,76.660000,Technology,Software,5.07,4.92,1,0.64,2017-05-16,31.32
24,LOW,"Lowe's Companies Inc Common",69.0,48.11,0.07,24.090000,"Consumer Cyclicals","Home Improvement Products & Services Retailers",9.52,8.20,1,1.04,2017-05-16,85.36
25,EA,"Electronic Arts Inc Common",68.6,54.61,15.01,34.810000,Technology,Software,12.65,5.80,1,1.93,2017-05-16,111.76
26,ALB,"Albemarle Corp Common",67.7,72.94,31.59,52.265000,"Basic Materials","Commodity Chemicals",9.79,6.47,1,1.74,2017-05-16,112.37
27,WAT,"Waters Corp Common",67.5,61.00,1.56,31.280000,Healthcare,"Advanced Medical Equipment & Technology",6.98,7.07,1,2.47,2017-05-16,174.91
28,STZ,"Constellation Brands Inc Class A Common",67.1,29.07,0.05,14.560000,"Consumer non-Cyclicals","Distillers & Wineries",6.43,7.72,1,2.36,2017-05-16,182.21
29,VAR,"Varian Medical Systems Inc Common",66.5,38.96,8.74,23.850000,Healthcare,"Advanced Medical Equipment & Technology",6.44,7.32,1,1.31,2017-05-16,95.95
30,RHT,"Red Hat Inc Common",66.2,27.04,7.77,17.405000,Technology,Software,5.21,7.86,1,1.14,2017-05-16,89.64
31,SNPS,"Synopsys Inc Common",63.5,66.66,39.39,53.025000,Technology,Software,6.64,10.79,1,0.70,2017-05-16,75.12
32,SWKS,"Skyworks Solutions Inc Common",61.3,96.73,60.19,78.460000,Technology,Semiconductors,13.01,5.57,1,1.89,2017-05-16,105.5
33,FBHS,"Fortune Brands Home & Security Inc Common",60.8,31.86,0.00,15.930000,"Consumer Cyclicals","Construction Supplies & Fixtures",2.27,8.40,1,0.75,2017-05-16,62.89
34,ALLE,"Allegion PLC Common",60.0,45.58,1.87,23.725000,Technology,"Communications & Networking",6.11,7.16,1,1.10,2017-05-16,78.48
35,PM,"Philip Morris International Inc Common",60.0,78.67,1.93,40.300000,"Consumer non-Cyclicals",Tobacco,3.45,8.41,1,1.35,2017-05-16,113.52
36,IFF,"International Flavors & Fragrances Inc Common",60.0,27.24,-0.09,13.575000,"Consumer non-Cyclicals","Food Processing",6.11,6.53,1,2.04,2017-05-16,133.16
37,COH,"Coach Inc Common",59.9,22.80,-0.00,11.400000,"Consumer Cyclicals","Apparel & Accessories Retailers",11.38,4.48,1,1.00,2017-05-16,44.99
38,FB,"Facebook Inc Class A Common",59.4,69.85,15.00,42.425000,Technology,"Online Services",2.23,8.67,1,1.73,2017-05-16,149.78
39,MAR,"Marriott International Inc Class A Common",58.9,48.55,45.18,46.865000,"Consumer Cyclicals","Hotels, Motels & Cruise Lines",6.36,6.71,1,1.55,2017-05-16,103.99
40,WDC,"Western Digital Corp Common",57.4,90.89,105.83,98.360000,Technology,"Computer Hardware",5.28,4.40,1,2.02,2017-05-16,88.96
41,BBY,"Best Buy Co Inc Common",56.9,9.24,62.93,36.085000,"Consumer Cyclicals","Computer & Electronics Retailers",6.43,5.96,1,0.87,2017-05-16,51.82
42,ANTM,"Anthem Inc Common",56.4,63.50,31.96,47.730000,Healthcare,"Managed Healthcare",4.31,5.84,1,3.09,2017-05-16,180.81
43,PKI,"PerkinElmer Inc Common",55.2,37.64,1.35,19.495000,Healthcare,"Advanced Medical Equipment & Technology",3.12,7.61,1,0.82,2017-05-16,62.54
44,IT,"Gartner Inc Common",55.2,17.86,6.80,12.330000,Technology,"IT Services & Consulting",3.05,8.05,1,1.41,2017-05-16,113.83
45,AMZN,"Amazon.com Inc Common",55.1,57.41,19.98,38.695000,"Consumer Cyclicals","Department Stores",3.54,8.04,1,11.99,2017-05-16,966.07
